iter	Passed	Remaining
0	4	445
1	8	429
2	13	441
3	17	430
4	22	420
5	26	416
6	31	413
7	36	415
8	40	409
9	45	407
10	49	401
11	54	397
12	59	395
13	63	390
14	68	386
15	73	383
16	77	378
17	82	373
18	86	369
19	91	364
20	95	359
21	99	353
22	105	354
23	111	354
24	117	351
25	122	347
26	126	341
27	130	336
28	136	334
29	141	331
30	146	326
31	151	322
32	156	317
33	160	312
34	165	307
35	170	303
36	175	298
37	180	294
38	185	290
39	190	285
40	194	279
41	199	275
42	203	269
43	208	264
44	212	259
45	216	254
46	220	248
47	224	243
48	228	238
49	232	232
50	236	227
51	240	222
52	245	217
53	249	212
54	255	208
55	259	203
56	263	198
57	268	194
58	272	189
59	274	183
60	278	178
61	283	174
62	288	169
63	293	165
64	298	160
65	302	156
66	307	151
67	312	146
68	317	142
69	322	138
70	324	132
71	329	127
72	334	123
73	339	119
74	344	114
75	349	110
76	354	105
77	358	101
78	363	96
79	368	92
80	373	87
81	377	82
82	382	78
83	387	73
84	392	69
85	395	64
86	400	59
87	406	55
88	411	50
89	416	46
90	420	41
91	422	36
92	426	32
93	432	27
94	436	22
95	442	18
96	446	13
97	452	9
98	457	4
99	461	0
