iter	RMSE
0	4334.887629
1	4091.034938
2	3850.227877
3	3638.478292
4	3455.62913
5	3290.876042
6	3147.164903
7	3024.833124
8	2921.829618
9	2831.232412
10	2738.586899
11	2663.638876
12	2603.464954
13	2539.261386
14	2475.992216
15	2423.891171
16	2384.128864
17	2342.661433
18	2316.714342
19	2286.088251
20	2256.070573
21	2225.671528
22	2207.628577
23	2186.712098
24	2164.367409
25	2139.854032
26	2118.389151
27	2101.415004
28	2077.597576
29	2060.602031
30	2042.420471
31	2028.361258
32	2014.081266
33	1997.956726
34	1986.339769
35	1979.071217
36	1965.584913
37	1956.248641
38	1944.827013
39	1935.742437
40	1928.206506
41	1921.680137
42	1911.279416
43	1901.473389
44	1893.43983
45	1880.921514
46	1871.658916
47	1863.137256
48	1853.308903
49	1837.932101
50	1826.717329
51	1821.466551
52	1807.660934
53	1795.507436
54	1789.952675
55	1786.011618
56	1778.878641
57	1772.574729
58	1764.367212
59	1761.981622
60	1756.464528
61	1751.888937
62	1746.026456
63	1741.432861
64	1735.629096
65	1729.73392
66	1720.949343
67	1710.851041
68	1705.941429
69	1700.955861
70	1699.14338
71	1689.937561
72	1685.547999
73	1678.203185
74	1672.042273
75	1666.538714
76	1659.908921
77	1655.415693
78	1649.558109
79	1646.803083
80	1639.026817
81	1635.595478
82	1632.291873
83	1625.780442
84	1619.018655
85	1618.191644
86	1614.438439
87	1608.674139
88	1604.957988
89	1600.229398
90	1594.357306
91	1594.211201
92	1590.418864
93	1583.521062
94	1579.254362
95	1575.508669
96	1571.06701
97	1565.952912
98	1563.961536
99	1560.687797
