iter	Passed	Remaining
0	2	2025
1	3	1992
2	5	1966
3	7	1956
4	9	1945
5	11	1947
6	13	1920
7	15	1904
8	17	1945
9	19	1936
10	21	1927
11	23	1929
12	25	1943
13	27	1958
14	29	1968
15	32	2017
16	35	2055
17	37	2046
18	39	2047
19	41	2035
20	43	2036
21	45	2040
22	48	2045
23	50	2043
24	52	2039
25	54	2027
26	56	2021
27	58	2025
28	60	2016
29	62	2029
30	64	2029
31	67	2034
32	69	2041
33	71	2033
34	73	2024
35	75	2034
36	78	2033
37	79	2024
38	81	2017
39	83	2009
40	85	2003
41	87	1997
42	89	1994
43	91	1984
44	93	1975
45	94	1969
46	96	1965
47	98	1960
48	100	1956
49	102	1948
50	104	1950
51	106	1945
52	108	1940
53	110	1934
54	112	1928
55	114	1924
56	115	1918
57	117	1912
58	119	1909
59	121	1905
60	123	1901
61	125	1896
62	127	1891
63	129	1888
64	131	1885
65	132	1881
66	135	1883
67	137	1879
68	138	1875
69	140	1872
70	142	1868
71	144	1865
72	146	1860
73	148	1857
74	150	1853
75	152	1849
76	154	1846
77	155	1842
78	157	1838
79	159	1834
80	161	1829
81	163	1826
82	165	1828
83	167	1824
84	169	1821
85	171	1817
86	173	1822
87	175	1819
88	177	1818
89	179	1813
90	181	1813
91	183	1811
92	185	1808
93	187	1804
94	189	1802
95	191	1798
96	193	1798
97	195	1798
98	197	1798
99	199	1797
100	201	1794
101	203	1791
102	205	1790
103	207	1789
104	209	1786
105	211	1784
106	213	1782
107	215	1781
108	217	1780
109	221	1794
110	224	1801
111	227	1804
112	229	1803
113	231	1802
114	234	1803
115	236	1803
116	238	1801
117	240	1799
118	242	1798
119	245	1797
120	247	1796
121	249	1795
122	251	1795
123	253	1792
124	255	1790
125	257	1789
126	259	1786
127	261	1783
128	263	1780
129	265	1777
130	267	1774
131	269	1770
132	271	1768
133	273	1765
134	274	1761
135	276	1758
136	279	1761
137	281	1760
138	283	1757
139	285	1754
140	287	1751
141	289	1748
142	291	1744
143	293	1742
144	294	1738
145	296	1736
146	298	1732
147	300	1729
148	302	1726
149	304	1723
150	306	1720
151	308	1720
152	310	1718
153	312	1715
154	314	1713
155	316	1711
156	318	1709
157	320	1707
158	322	1705
159	324	1702
160	326	1699
161	327	1696
162	329	1693
163	331	1690
164	333	1687
165	335	1684
166	337	1681
167	338	1678
168	340	1675
169	342	1673
170	344	1671
171	346	1669
172	348	1667
173	350	1666
174	352	1664
175	354	1661
176	356	1659
177	358	1657
178	361	1655
179	362	1653
180	364	1651
181	367	1650
182	369	1648
183	371	1646
184	373	1644
185	375	1642
186	377	1640
187	380	1641
188	382	1641
189	384	1639
190	386	1636
191	388	1633
192	390	1630
193	392	1629
194	394	1628
195	396	1626
196	398	1625
197	400	1624
198	402	1621
199	404	1619
200	406	1617
201	408	1614
202	411	1614
203	413	1611
204	415	1610
205	417	1607
206	419	1605
