iter	RMSE
0	4470.805442
1	4344.206384
2	4197.820906
3	4091.195209
4	3969.515723
5	3849.308724
6	3745.620285
7	3649.686167
8	3572.658677
9	3480.124822
10	3400.021761
11	3331.945469
12	3278.848749
13	3212.158256
14	3157.498453
15	3098.258106
16	3042.904192
17	2992.123645
18	2949.94664
19	2906.085197
20	2869.718509
21	2837.241006
22	2805.895925
23	2773.035678
24	2740.150113
25	2716.498759
26	2693.227651
27	2672.047207
28	2655.286148
29	2633.645281
30	2615.170639
31	2600.510045
32	2580.895599
33	2567.571825
34	2548.873896
35	2535.155671
36	2517.563501
37	2501.424646
38	2491.29242
39	2482.724557
40	2469.620046
41	2461.096575
42	2447.032915
43	2437.331
44	2424.624712
45	2415.024784
46	2410.298294
47	2403.601021
48	2397.646721
49	2388.580837
50	2382.816219
51	2372.632225
52	2364.66567
53	2359.198237
54	2349.617419
55	2344.682329
56	2338.199455
57	2332.812562
58	2323.963899
59	2317.74378
60	2311.843543
61	2308.818021
62	2304.500521
63	2299.662404
64	2289.312365
65	2283.588514
66	2279.084715
67	2274.522128
68	2265.057778
69	2260.218609
70	2256.141715
71	2251.653677
72	2247.313966
73	2240.481617
74	2232.828502
75	2228.552717
76	2223.82671
77	2218.733138
78	2214.112718
79	2209.627369
80	2205.321744
81	2201.021272
82	2195.865025
83	2192.417983
84	2188.927694
85	2186.497921
86	2181.937739
87	2178.764616
88	2176.346923
89	2172.892201
90	2170.144295
91	2162.609847
92	2158.207437
93	2152.931823
94	2149.530558
95	2145.296297
96	2143.291592
97	2140.280964
98	2135.340774
99	2131.930193
100	2127.862976
101	2122.044247
102	2117.679877
103	2115.14764
104	2110.736845
105	2108.962167
106	2103.99803
107	2102.576134
108	2102.111654
109	2100.561194
110	2098.634678
111	2095.638818
112	2093.654205
113	2092.373043
114	2087.983731
115	2084.883894
116	2082.932674
117	2080.164876
118	2076.503556
119	2072.887398
120	2069.831683
121	2066.774215
122	2064.297131
123	2062.558434
124	2058.131116
125	2055.747177
126	2051.799429
127	2047.462163
128	2045.312522
129	2045.09982
130	2042.011196
131	2040.608854
132	2035.006933
133	2034.004293
134	2032.589828
135	2030.05785
136	2028.880838
137	2027.304539
138	2024.414388
139	2022.924104
140	2020.680154
141	2019.448378
142	2017.248367
143	2015.005546
144	2013.29245
145	2009.084009
146	2006.966988
147	2003.978702
148	2000.510246
149	1997.585727
150	1996.084159
151	1993.986967
152	1993.194626
153	1992.339569
154	1989.523743
155	1987.141817
156	1984.400749
157	1982.424711
158	1981.371383
159	1979.079954
160	1978.082415
161	1976.460684
162	1972.695023
163	1971.268512
164	1969.582844
165	1967.05799
166	1966.901384
167	1965.751726
168	1961.658612
169	1960.361081
170	1958.331576
171	1956.437081
172	1954.070957
173	1950.360492
174	1948.413794
175	1947.440724
176	1943.140943
177	1942.255031
178	1941.187833
179	1939.278843
180	1937.174635
181	1935.536874
182	1935.145082
183	1934.384958
184	1933.292298
185	1932.263445
186	1931.356195
187	1930.454375
188	1927.532984
189	1925.872477
190	1924.566486
191	1923.3744
192	1922.557127
193	1920.351281
194	1918.088498
195	1917.668803
196	1915.93761
197	1913.578997
198	1912.860879
199	1911.328559
200	1910.233533
201	1909.805453
202	1907.955105
203	1906.437314
204	1904.135431
205	1903.812193
206	1902.429519
207	1901.38868
208	1900.757069
209	1898.629588
210	1898.445714
211	1896.753384
212	1896.421006
213	1894.503062
214	1894.180854
215	1892.975365
216	1890.138668
217	1889.825852
218	1889.099945
219	1887.049786
220	1886.761833
221	1884.22974
222	1883.000993
223	1881.881569
224	1881.595557
225	1879.416809
226	1879.155502
227	1877.338437
228	1875.260533
229	1874.345106
230	1874.018794
231	1873.700647
232	1871.916728
233	1868.614637
234	1867.540915
235	1865.893666
236	1864.230846
237	1862.279142
238	1861.092511
239	1859.222591
240	1856.145406
241	1854.5303
242	1854.43608
243	1854.159663
244	1852.721305
245	1850.945017
246	1849.600479
247	1849.544397
248	1849.491325
249	1848.030793
250	1847.978816
251	1847.68989
252	1845.681039
253	1843.462094
254	1841.458287
255	1839.68805
256	1838.182608
257	1836.570322
258	1836.52325
259	1836.478377
260	1835.255206
261	1834.481088
262	1833.714134
263	1833.671676
264	1833.630852
265	1831.432467
266	1828.270295
267	1826.67127
268	1825.23199
269	1825.192392
270	1823.565811
271	1822.351341
272	1822.313323
273	1822.285078
274	1821.271812
275	1820.069594
276	1817.710894
277	1815.505413
278	1815.477026
279	1813.934302
280	1813.913537
281	1812.121693
282	1810.424788
283	1810.398138
284	1808.913256
285	1807.905243
286	1807.508596
287	1806.10542
288	1804.543614
289	1802.891424
