iter	Passed	Remaining
0	1	1916
1	4	1997
2	6	2002
3	7	1978
4	9	1987
5	11	1964
6	13	1956
7	15	1945
8	17	1931
9	19	1928
10	21	1923
11	23	1912
12	25	1902
13	27	1904
14	28	1902
15	31	1910
16	33	1910
17	35	1910
18	37	1922
19	39	1921
20	41	1921
21	43	1918
22	45	1917
23	47	1912
24	48	1906
25	50	1903
26	52	1898
27	54	1895
28	56	1896
29	58	1894
30	60	1890
31	62	1889
32	64	1884
33	66	1880
34	68	1883
35	70	1881
36	72	1877
37	74	1877
38	75	1871
39	77	1870
40	79	1868
41	81	1866
42	83	1862
43	85	1861
44	87	1860
45	89	1857
46	91	1854
47	93	1851
48	95	1852
49	97	1853
50	99	1847
51	101	1844
52	103	1843
53	105	1840
54	106	1837
55	109	1838
56	110	1835
57	112	1832
58	114	1830
59	116	1826
60	118	1823
61	120	1821
62	122	1819
63	124	1816
64	126	1814
65	127	1811
66	129	1807
67	131	1804
68	133	1805
69	135	1805
70	137	1804
71	139	1802
72	141	1800
73	143	1799
74	145	1799
75	147	1797
76	149	1795
77	151	1794
78	153	1793
79	155	1792
80	157	1790
81	159	1789
82	162	1796
83	164	1795
84	166	1794
85	168	1794
86	171	1795
87	172	1792
88	174	1790
89	176	1787
90	178	1784
91	180	1782
92	182	1779
93	184	1775
94	186	1774
95	188	1770
96	189	1768
97	192	1769
98	194	1766
99	196	1765
100	198	1766
101	200	1765
102	202	1765
103	205	1767
104	206	1763
105	208	1760
106	210	1756
107	212	1753
108	213	1748
109	215	1744
110	217	1742
111	219	1739
112	221	1737
113	223	1734
114	225	1732
115	227	1731
116	229	1729
117	231	1727
118	233	1725
119	235	1723
120	236	1721
121	239	1720
122	240	1716
123	242	1715
124	244	1714
125	246	1711
126	248	1708
127	250	1705
128	252	1702
129	253	1698
130	255	1695
131	257	1692
132	259	1689
133	261	1686
134	262	1683
135	264	1681
136	266	1678
137	268	1676
138	270	1673
139	272	1671
140	274	1669
141	276	1668
142	278	1666
143	280	1664
144	281	1662
145	283	1659
146	285	1657
147	287	1654
148	289	1651
149	291	1649
150	292	1646
151	294	1644
152	296	1641
153	298	1639
154	300	1637
155	302	1635
156	304	1633
157	306	1631
158	307	1628
159	309	1626
160	311	1624
161	313	1622
162	315	1622
163	317	1620
164	319	1618
165	322	1621
166	324	1617
167	326	1616
168	328	1616
169	331	1616
170	333	1615
171	335	1615
172	338	1616
173	339	1613
174	341	1611
175	343	1609
176	345	1606
177	347	1604
178	349	1601
179	350	1598
180	352	1596
181	354	1595
182	356	1592
183	358	1590
184	360	1587
185	362	1588
186	364	1586
187	366	1584
188	368	1581
189	370	1579
190	372	1577
191	374	1577
192	376	1575
193	378	1573
194	380	1571
195	382	1568
196	384	1565
197	386	1563
198	387	1561
199	389	1558
200	391	1556
201	393	1553
202	395	1551
203	397	1549
204	398	1546
205	400	1543
206	402	1541
207	404	1538
208	406	1536
209	407	1534
210	409	1531
211	411	1529
212	413	1526
213	415	1524
214	416	1521
215	418	1519
216	420	1517
217	422	1514
218	423	1511
219	425	1509
220	427	1506
221	429	1505
222	431	1503
223	433	1501
224	435	1498
225	436	1496
226	438	1493
227	440	1491
228	442	1489
229	444	1487
230	446	1484
231	447	1482
232	449	1480
233	451	1478
234	453	1476
235	455	1475
236	457	1473
237	459	1470
238	461	1468
239	463	1466
240	464	1464
241	466	1462
242	469	1461
243	471	1460
244	474	1461
245	476	1460
246	478	1458
247	480	1456
248	482	1454
249	485	1455
250	486	1453
251	489	1452
252	491	1450
253	493	1448
254	495	1446
255	497	1444
256	499	1442
257	500	1440
258	502	1437
259	504	1434
260	505	1432
261	507	1429
262	509	1427
263	511	1424
264	512	1422
265	514	1420
266	516	1417
267	518	1415
268	520	1413
269	521	1411
270	523	1408
271	525	1406
272	527	1404
273	528	1401
274	530	1399
275	532	1397
276	534	1395
